Stock,Ticker,PortFolio Weight
ABBVIE,ABBV,0.59%
ACCENTURE,ACN,0.88%
AIR PROD,APD,0.66%
AMGEN,AMGN,0.29%
APOLLO,APO,1.91%
APPLE,AAPL,1.25%
AT&T,T,13.66%
BANK OF AMERICA,BAC,11.09%
BROADCOM,AVGO,0.44%
COCA COLA,KO,3.89%
CROWN CASTLE,CCI,1.32%
EATON,ETN,2.64%
EXXON,XOM,3.45%
HOME DEPOT,HD,0.66%
INTL BUSINESS,IBM,1.25%
INVESCO QQQ,QQQ,8.00%
INVESCO S&P,RPV,3.52%
JOHNSON & JOHNSON,JNJ,1.84%
JP MORGAN,JPM,2.28%
MEDTRONIC,MDT,3.30%
MERCK,MRK,0.81%
MICROSOFT,MSFT,2.13%
NEXTRA ENERGY,NEE,2.35%
NIKE INC B,NKE,2.64%
PEPSI,PEP,1.10%
PFIZER,PFE,4.04%
PROCTOR & GAMBLE,PG,1.25%
PROLOGIS,PLD,1.62%
REALITY INCOME CORP,O,3.60%
SHERWIN WILLIAMS ,SHW,0.73%
SPDR,KRE,4.92%
UNITEDHEALTH,UNH,0.66%
VERIZON,VZ,10.43%
VISA,V,0.81%
WALMART,WMT,1.32%
